invoice_no,cn_no,customer_code,customer_name,invoice_date,base_amount,tax_rate,tax_amount,total_amount,amount,status
INV-2026-ERR-UNDER,,CUST-011,Apollo Pharmacy,2026-09-04,5000.00,0.18,900.00,5900.00,,PD
INV-2026-ERR-OVER,,CUST-015,Fortis Healthcare Ltd,2026-09-04,4000.00,0.18,720.00,4720.00,,PD
INV-2026-ERR-TAX,,CUST-012,CareMax Healthcare,2026-09-04,10000.00,0.12,1200.00,11200.00,,PD
INV-2026-ERR-DUPCN,,CUST-013,Zenith Pharma,2026-09-04,2000.00,0.18,360.00,2360.00,,PD
INV-2026-ERR-DUPCN,CN-2026-DUP-01,,,,,,,,500.00,
INV-2026-ERR-DUPCN,CN-2026-DUP-02,,,,,,,,500.00,
INV-2026-DEMO-DISPUTE,,CUST-014,HealthCart Logistics,2026-09-04,3000.00,0.18,540.00,3540.00,,PD
INV-2026-MATCH-CN,,CUST-010,MedPlus Distributors,2026-09-04,1000.00,0.18,180.00,1180.00,,PD
INV-2026-MATCH-CN,CN-2026-001,,,,,,,,180.00,
INV-2026-BULK-001,,CUST-BULK,Reliance Retail Group,2026-09-04,2000.00,0.18,360.00,2360.00,,PD
INV-2026-BULK-002,,CUST-BULK,Reliance Retail Group,2026-09-04,3000.00,0.18,540.00,3540.00,,PD
INV-2026-INST-001,,CUST-INST,Tata 1mg Health,2026-09-04,4000.00,0.18,720.00,4720.00,,PD
INV-2026-MATCH-001,,CUST-001,Metro Retailer 1,2026-09-04,1000.00,0.18,180.00,1180.00,,PD
